Name,Masked,Real,Diff
IMG_9977,6,31,25
IMG_0055,15,40,25
IMG_0058,7,30,23
IMG_9778,6,28,22
IMG_0007,7,29,22
IMG_0008,9,31,22
IMG_0191,8,29,21
IMG_9951,12,33,21
IMG_9569,9,30,21
IMG_9609,11,32,21
IMG_9612,13,33,20
IMG_0155,12,32,20
IMG_9633,12,32,20
IMG_9781,6,26,20
IMG_9634,12,32,20
IMG_9607,10,30,20
IMG_0013,4,24,20
IMG_0034,12,32,20
IMG_9937,8,28,20
IMG_0002,7,27,20
IMG_9682,10,30,20
IMG_0054,18,38,20
IMG_9892,10,30,20
IMG_9864,10,30,20
IMG_9889,14,33,19
IMG_0156,14,33,19
IMG_9880,14,33,19
IMG_0172,16,35,19
IMG_9814,9,28,19
IMG_9787,8,27,19
IMG_0069,8,27,19
IMG_9754,10,29,19
IMG_0001,8,27,19
IMG_9817,10,28,18
IMG_9990,14,32,18
IMG_9989,14,32,18
IMG_9604,11,29,18
IMG_9765,9,27,18
IMG_9774,7,25,18
IMG_9646,10,28,18
IMG_0085,11,29,18
IMG_9863,12,30,18
IMG_9896,11,29,18
IMG_9694,13,31,18
IMG_9706,14,32,18
IMG_9811,10,28,18
IMG_9693,12,30,18
IMG_0186,13,30,17
IMG_0005,7,24,17
IMG_9813,11,28,17
IMG_9681,12,29,17
IMG_9905,13,30,17
IMG_9952,16,33,17
IMG_9879,17,34,17
IMG_9659,14,31,17
8795,8,25,17
IMG_9890,16,33,17
IMG_9886,13,30,17
IMG_0121,10,27,17
IMG_9788,11,28,17
IMG_9645,10,27,17
IMG_0057,14,31,17
IMG_9643,10,27,17
IMG_9624,13,30,17
IMG_9636,13,30,17
IMG_0060,13,30,17
IMG_0010,10,27,17
IMG_9782,9,26,17
IMG_0065,14,31,17
IMG_9870,11,28,17
IMG_9585,14,30,16
IMG_0011,11,27,16
IMG_0185,14,30,16
IMG_9909,11,27,16
IMG_9973,12,28,16
IMG_9807,7,23,16
IMG_0145,15,31,16
IMG_0073,10,26,16
IMG_0039,15,31,16
IMG_0146,16,32,16
IMG_9976,15,31,16
IMG_9841,13,29,16
IMG_9775,8,24,16
IMG_9738,13,29,16
IMG_9831,14,30,16
IMG_9777,12,28,16
IMG_9688,15,31,16
IMG_9613,17,33,16
IMG_0021,13,29,16
6674_1_{X-18},11,27,16
IMG_9823,14,30,16
IMG_9568,13,29,16
IMG_9893,14,30,16
IMG_0775,13,29,16
IMG_9816,13,28,15
IMG_9954,14,29,15
IMG_9678,13,28,15
IMG_9715,15,30,15
IMG_0192,16,31,15
IMG_9623,15,30,15
IMG_0040,17,32,15
IMG_9766,12,27,15
IMG_9984,9,24,15
IMG_9710,15,30,15
IMG_9769,11,26,15
IMG_9960,14,29,15
IMG_9652,18,33,15
IMG_9768,11,26,15
IMG_9877,13,28,15
IMG_9642,12,27,15
IMG_0004,10,25,15
IMG_0063,15,30,15
IMG_9810,13,28,15
IMG_9630,13,28,15
IMG_9581,13,28,15
IMG_9674,19,34,15
IMG_9808,8,23,15
IMG_9621,12,27,15
IMG_9958,16,31,15
IMG_9995,10,25,15
IMG_9629,13,28,15
IMG_9748,11,26,15
IMG_0120,11,26,15
IMG_9912,13,27,14
IMG_9687,18,32,14
IMG_9741,11,25,14
IMG_9996,11,25,14
IMG_9955,15,29,14
IMG_0200,15,29,14
IMG_0018,15,29,14
IMG_9855,17,31,14
IMG_9701,19,33,14
IMG_9627,12,26,14
IMG_9832,16,30,14
IMG_9804,11,25,14
IMG_9974,14,28,14
IMG_0045,17,31,14
IMG_9709,17,31,14
IMG_9793,13,27,14
IMG_9610,18,32,14
IMG_9968,12,26,14
IMG_9791,12,26,14
IMG_0118,13,27,14
IMG_9731,15,29,14
IMG_9601,16,30,14
IMG_9606,16,30,14
8787,15,29,14
IMG_0152,15,29,14
IMG_9703,12,26,14
IMG_9961,15,29,14
IMG_9737,15,29,14
IMG_0020,15,29,14
IMG_9790,12,26,14
IMG_9800,12,26,14
IMG_0182,17,31,14
IMG_9876,14,28,14
IMG_9918,16,30,14
IMG_0133,12,26,14
IMG_9707,19,32,13
IMG_9820,9,22,13
IMG_0072,13,26,13
IMG_9626,13,26,13
IMG_0099,15,28,13
IMG_0070,14,27,13
6678_2_{X-18},8,21,13
IMG_9677,15,28,13
IMG_9967,13,26,13
IMG_0114,16,29,13
IMG_9938,15,28,13
IMG_9669,13,26,13
IMG_9887,17,30,13
IMG_9824,17,30,13
IMG_9883,15,28,13
IMG_0173,18,31,13
IMG_0211,16,29,13
IMG_9794,14,27,13
IMG_0162,16,29,13
IMG_9895,16,29,13
IMG_9803,12,25,13
IMG_9580,13,26,13
IMG_9839,13,26,13
IMG_9600,17,30,13
IMG_0111,16,29,13
IMG_9640,15,28,13
IMG_9666,15,28,13
IMG_9983,11,24,13
IMG_0079,16,29,13
IMG_9873,18,31,13
IMG_0153,14,27,13
IMG_9850,16,29,13
IMG_0108,15,28,13
IMG_0077,9,22,13
IMG_9639,15,28,13
IMG_0631,11,24,13
IMG_9844,16,28,12
IMG_9944,15,27,12
IMG_9758,12,24,12
IMG_9785,12,24,12
IMG_9665,17,29,12
IMG_9672,17,29,12
IMG_9751,13,25,12
IMG_9752,13,25,12
IMG_9963,19,31,12
IMG_0086,17,29,12
IMG_0112,16,28,12
IMG_9697,19,31,12
IMG_9819,10,22,12
IMG_9861,20,32,12
IMG_9698,19,31,12
IMG_0050,12,24,12
IMG_9854,19,31,12
IMG_9732,17,29,12
IMG_9744,15,27,12
IMG_1125,11,23,12
IMG_9762,20,32,12
IMG_9572,15,27,12
IMG_0093,18,30,12
IMG_9797,11,23,12
IMG_9964,21,33,12
IMG_0205,17,29,12
IMG_9838,14,26,12
IMG_1052,7,19,12
IMG_0933,10,21,11
IMG_0432,6,17,11
IMG_1121,11,22,11
IMG_0321,10,21,11
IMG_0799,6,17,11
IMG_0150,16,27,11
IMG_0188,14,25,11
IMG_9735,14,25,11
IMG_9761,21,32,11
IMG_0958,13,24,11
IMG_9898,14,25,11
IMG_0037,15,26,11
IMG_0722,12,23,11
IMG_0163,20,31,11
IMG_9714,19,30,11
IMG_9620,17,28,11
IMG_9584,17,28,11
IMG_0585,11,22,11
IMG_9653,22,33,11
IMG_0026,15,26,11
IMG_9685,15,26,11
IMG_0673,13,24,11
IMG_9743,16,27,11
IMG_0183,20,31,11
IMG_0046,20,31,11
IMG_9946,15,26,11
IMG_9851,18,29,11
IMG_9740,14,25,11
IMG_0801,12,23,11
IMG_9979,15,26,11
IMG_0023,18,29,11
IMG_0743,11,22,11
IMG_0217,17,28,11
IMG_9835,15,26,11
IMG_0913,8,19,11
IMG_9919,20,30,10
IMG_9842,19,29,10
IMG_9930,18,28,10
IMG_0951,8,18,10
6418_{X-18},10,20,10
IMG_9914,16,26,10
IMG_0208,20,30,10
IMG_9931,18,28,10
IMG_0066,22,32,10
IMG_0029,14,24,10
IMG_9575,18,28,10
IMG_0128,18,28,10
IMG_0497,14,24,10
IMG_0033,21,31,10
IMG_9591,19,29,10
6444_2,4,14,10
IMG_9571,17,27,10
IMG_9827,20,30,10
IMG_0043,19,29,10
IMG_0134,17,27,10
IMG_9908,16,26,10
IMG_9658,21,31,10
