make,model,orientation,x_resolution,y_resolution,resolution_unit,software,datetime,y_and_c_positioning,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,exif_version,datetime_original,datetime_digitized,components_configuration,compressed_bits_per_pixel,exposure_bias_value,max_aperture_value,metering_mode,light_source,flash,focal_length,maker_note,user_comment,subsec_time,subsec_time_original,subsec_time_digitized,flashpix_version,color_space,pixel_x_dimension,pixel_y_dimension,_interoperability_ifd_Pointer,sensing_method,file_source,scene_type,cfa_pattern,custom_rendered,exposure_mode,white_balance,digital_zoom_ratio,focal_length_in_35mm_film,scene_capture_type,gain_control,contrast,saturation,sharpness,subject_distance_range,spikelets_num,name
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 12:06:32,2,216,6,24912,12468,0.008,5.6,0,0221,2022:03:25 12:06:32,2022:03:25 12:06:32,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,90,90,90,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_450
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 11:23:43,2,216,6,28632,9049,0.008,5.6,0,0221,2022:03:24 11:23:43,2022:03:24 11:23:43,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,60,60,60,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,12,Spike_196
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 16:09:09,2,216,6,25976,12516,0.008,5.6,0,0221,2022:03:23 16:09:09,2022:03:23 16:09:09,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,40,40,40,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,11,Spike_62
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 16:18:19,2,216,6,28072,8996,0.01,5.6,0,0221,2022:03:28 16:18:19,2022:03:28 16:18:19,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,20,20,20,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,12,Spike_793
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 15:20:17,2,216,6,27616,8895,0.00625,6.3,0,0221,2022:03:24 15:20:17,2022:03:24 15:20:17,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,80,80,80,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_378
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 10:20:24,2,216,6,30696,8658,0.01,5.6,0,0221,2022:03:28 10:20:24,2022:03:28 10:20:24,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,10,Spike_580
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 11:59:59,2,216,6,26328,8820,0.01,5.6,0,0221,2022:03:28 11:59:59,2022:03:28 11:59:59,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,10,10,10,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,11,Spike_705
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:24 11:14:22,2,216,6,25796,12217,0.008,5.6,0,0221,2022:03:24 11:14:22,2022:03:24 11:14:22,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,70,70,70,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,10,Spike_188
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 12:08:48,2,216,6,26188,8818,0.008,5.6,0,0221,2022:03:25 12:08:48,2022:03:25 12:08:48,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,8,Spike_453
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 16:33:44,2,216,6,26476,8895,0.008,5.6,0,0221,2022:03:23 16:33:44,2022:03:23 16:33:44,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,60,60,60,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,11,Spike_80
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 16:39:28,2,216,6,27400,8712,0.008,5.6,0,0221,2022:03:23 16:39:28,2022:03:23 16:39:28,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",52.0,,                                    ,00,00,00,,1,2256,1496,,2,,,,0,0,0,1.0,78,0,0,0,0,0,0,9,Spike_84
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:23 14:16:26,2,216,6,27212,8911,0.008,5.6,0,0221,2022:03:23 14:16:26,2022:03:23 14:16:26,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,12,Spike_12
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:25 12:14:51,2,216,6,25396,8865,0.008,5.6,0,0221,2022:03:25 12:14:51,2022:03:25 12:14:51,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,60,60,60,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,8,Spike_461
NIKON CORPORATION,NIKON D50,1,300.0,300.0,2,Ver.1.00 ,2022:03:28 12:38:28,2,216,6,24608,9077,0.01,5.6,0,0221,2022:03:28 12:38:28,2022:03:28 12:38:28,,4.0,0.0,5.0,5,0,"Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0)",55.0,,                                    ,30,30,30,,1,2256,1496,,2,,,,0,0,0,1.0,82,0,0,0,0,0,0,18,Spike_754
