H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,name
7209,119505,438613,63,367,0,63,21647,9,847933,1218949,142383,21,19773,196,16346,3145,13077,43,308900,197302,0,0,0,0,0,19432,Spike_450
907452,54465,459671,1891,861,53,25979,19772,81,963357,146283,145487,220,533,17221,2614,14699,15994,1091,326619,253165,0,0,0,0,0,17468,Spike_196
559493,8002,468116,607,652,6,9545,8598,4,1715076,64885,103526,33,927,17939,18701,12641,17921,3603,182205,163995,2,0,0,0,2,18497,Spike_62
6178,4748,584431,94,896,28,196,26395,17,1385541,140818,179332,37,22519,1545,23363,1021,17823,308637,339922,307411,0,0,0,0,0,24024,Spike_793
600469,19612,459966,140,717,37,4633,19921,35,1317694,230191,119446,37,703,17162,8035,9393,16361,737,316789,215376,0,0,0,0,0,17522,Spike_378
5605,5017,583190,130,1075,52,264,27309,53,1569155,166739,156730,45,20035,3851,21142,2372,11612,273333,243432,259909,0,0,0,0,0,23926,Spike_580
18619,9087,597051,176,936,123,196,27142,46,1590648,189644,165258,10,20500,3412,19133,4378,10506,256160,172777,265202,0,0,0,0,0,23972,Spike_705
767852,8590,455003,2555,687,32,27221,16706,30,1385517,48910,94032,1730,684,17226,12850,9672,17153,2117,324664,164082,16,0,0,0,1,17646,Spike_188
47577,63977,435050,153,478,0,109,21760,4,1326060,750243,148102,13,19357,547,19151,392,15915,88,315044,191394,0,0,0,0,0,19562,Spike_453
666042,10290,466207,986,684,16,7757,13622,7,1591596,69343,98458,26,893,17714,17690,8013,17686,1169,201168,167318,1,0,0,0,1,18289,Spike_80
553310,32779,465610,492,752,8,1788,16371,4,1644333,104779,103412,33,1011,17571,16994,5470,17200,6455,192783,175639,0,0,0,0,1,18181,Spike_84
933562,55941,473646,174,677,4,6735,20608,37,1050159,290033,108273,3,1029,17850,14904,3343,17357,2638,173569,185974,0,0,0,0,1,18459,Spike_12
6293,68847,422546,115,334,0,37,21463,13,999111,1112484,150439,65,19945,5,18425,1221,15247,87,329971,188717,0,0,0,0,0,19611,Spike_461
5521,4496,591588,149,899,66,191,27033,33,1807843,111976,168258,62,21864,2106,22753,895,15191,218208,147208,204674,0,0,0,0,0,23962,Spike_754
115202,21814,451773,191,581,0,262,21713,3,1559511,466515,128825,10,11154,8808,19139,289,17583,95,363366,168559,0,0,0,0,0,19583,Spike_437
12078,6683,603579,130,1014,62,316,27240,57,1804389,136911,164258,28,19741,4191,21666,1830,12518,150708,161305,222380,0,0,0,0,0,23892,Spike_828
5865,3923,583786,114,917,61,174,27064,35,1468745,152358,180304,43,21883,2121,22883,854,14743,382967,243210,238899,0,0,0,0,0,24027,Spike_531
62148,152463,464937,101,704,0,147,21942,20,965249,936975,140394,15,17613,2116,13318,5949,14505,36,329417,227423,0,0,0,0,0,19504,Spike_430
17261,9804,587293,154,1032,107,323,27237,78,1662646,137846,171161,19,17002,6890,21178,2257,9815,228646,181709,268632,0,0,0,0,0,23886,Spike_569
241949,37947,465250,181,722,0,500,21962,28,1397999,449124,133148,5,6522,13276,17259,1961,15939,42,335609,216036,0,0,0,0,0,19517,Spike_432
6263,5458,579848,115,1154,70,282,27341,43,1670410,159612,163461,7,19751,4106,20146,3340,10039,292376,165987,221360,0,0,0,0,0,23807,Spike_621
13290,9405,601956,159,1008,81,327,27227,74,1714391,181606,155292,33,19404,4467,18617,4758,10059,198402,164198,226378,0,0,0,0,0,23844,Spike_728
