make,model,x_resolution,y_resolution,resolution_unit,software,datetime,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,photographic_sensitivity,exif_version,datetime_original,datetime_digitized,shutter_speed_value,aperture_value,exposure_bias_value,subject_distance,metering_mode,focal_length,pixel_x_dimension,pixel_y_dimension,focal_plane_resolution_unit,exposure_mode,white_balance,spikelets_num,name
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 11:48:46,196,6,912,1949,0.008,9.0,1,100,0220,2018:04:19 11:48:46,2018:04:19 11:48:46,7.0,6.375,0.0,0.0,5,90.0,5184,3456,2,1,0,20,IMG_0500
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 09:52:05,196,6,912,1835,0.008,9.0,1,100,0220,2018:04:23 09:52:05,2018:04:23 09:52:05,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,20,IMG_0924
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:03:44,196,6,912,2170,0.00625,14.0,1,100,0220,2019:01:22 11:03:44,2019:01:22 11:03:44,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,33,IMG_9890
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:32:39,196,6,912,2027,0.00625,14.0,1,100,0220,2019:01:22 11:32:39,2019:01:22 11:32:39,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,29,IMG_0020
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 10:11:29,196,6,912,1958,0.008,9.0,1,100,0220,2018:04:19 10:11:29,2018:04:19 10:11:29,7.0,6.375,0.0,0.0,5,100.0,5184,3456,2,1,0,20,IMG_0312
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:23 09:25:15,196,6,912,2036,0.00625,14.0,1,100,0220,2019:01:23 09:25:15,2019:01:23 09:25:15,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,24,IMG_0168
Canon,Canon EOS 350D DIGITAL,300.0,300.0,2,Capture One 7 Windows,2017:06:19 04:35:06,224,6,940,1888,0.00625,11.0,1,100,0220,2017:06:19 04:35:06,2017:06:19 04:35:06,7.321929931640625,6.9188690185546875,0.0,0.0,1,55.0,3456,2304,2,1,0,10,8728_3
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:02:01 14:57:48,196,6,912,2238,0.00625,9.0,1,100,0220,2019:02:01 14:57:48,2019:02:01 14:57:48,7.375,6.375,0.0,0.0,5,63.0,3456,5184,2,1,1,22,6838_2_{X-18}
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 09:58:37,196,6,912,1713,0.008,9.0,1,100,0220,2018:04:23 09:58:37,2018:04:23 09:58:37,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,20,IMG_0946
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 14:18:49,196,6,912,1945,0.00625,14.0,1,100,0220,2019:01:22 14:18:49,2019:01:22 14:18:49,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,29,IMG_0086
