name,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3
6444_2,133497,145711,62137,1173728,224199,32593,40860,9947,3934,64361,195508,72812,79278,82560,968632,8484,1139,6797,191180,265780,237551,135189,163413,13516681,2552,45959,51422
6444_4,125330,99488,44076,1265101,144070,25824,43863,7822,3651,69932,153030,70064,65462,79188,433417,9709,1387,5521,199623,243732,241500,164742,150019,14166126,4580,47391,51256
6444_3,147734,119294,50785,1315504,92403,28923,35377,6093,2424,82138,182338,94633,64740,81429,331827,8160,1462,4670,230720,282919,238683,158978,143104,14108753,3462,48235,51116
6444,40544,35017,107761,822965,1368173,201528,17357,16442,6782,30591,253292,81787,143989,143114,3074702,1463,1206,14270,346891,321523,381906,269392,382547,9675491,384,43375,133412
6444_1,204987,122433,28952,1363478,105217,31827,41836,8726,2252,116852,173589,85944,82800,100128,185034,13581,1866,3946,247024,279903,229642,181177,161209,14038405,4354,48795,51947
6674_4_{X-18},581682,193692,298439,577770,721165,249268,45341,96999,17185,202740,173412,186962,166117,131978,5961660,5912,1540,72129,249505,156860,205037,56000,144244,7356810,3026,2592,57839
6676_2_{X-18},2688619,306935,677152,169979,183270,313919,12494,12075,18293,381505,266476,360012,72400,176982,6311827,5195,633,101932,371462,214186,303757,76278,3584,4883866,898,104,2071
6836_1_{X-18},2888478,263117,728292,91485,92204,286495,5144,4162,12892,361138,217340,447470,60869,135069,4408215,2032,177,97803,235512,144357,163376,43237,3523,7222840,648,21,8
7257_3,119088,59490,30722,1264672,92730,25940,27131,5073,1652,54374,132425,57789,52978,74155,340725,9283,1508,4507,207370,249557,227700,166968,139635,14473385,3437,45012,48598
6835_4_{X-18},3231147,424772,675446,178319,197769,364110,10398,8992,16837,393394,279035,403824,85094,170589,3975148,6076,495,117497,330025,143300,317828,70642,6572,6507694,711,89,101
7253_1,123943,67876,25827,1264106,77963,34909,28359,4027,1381,65247,137964,52860,58012,78870,405900,10476,1746,3900,181027,200736,208997,170437,137551,14478198,3378,44825,47389
7257_2,127319,62296,34366,1250905,92528,26090,33753,5273,1490,53483,134760,62540,53906,73464,519807,9096,1425,4695,207395,222147,218968,163810,135311,14324079,3703,44843,48452
6448_1,115670,74494,16537,1276941,82177,16437,28306,3943,1130,56463,119514,67602,62540,77827,209739,8625,1531,3980,203492,300869,238131,182056,155605,14511845,3785,46948,49717
6677_4_{X-18},2447864,278219,722585,235149,257135,352784,16633,16578,18889,388967,200581,371412,74302,235090,6390627,6580,744,88299,460440,270797,304441,87235,14928,4655374,1135,153,18963
7255_3,125054,66029,23370,1292631,104188,32722,33958,5916,1437,76225,132068,55582,61313,83412,388020,13198,1660,4209,201438,242342,232467,174689,146956,14316756,4232,46582,49450
6445_2,152043,142379,39504,1307912,128966,51081,42719,8593,2355,106004,150169,66163,65165,93988,197898,11828,1555,4503,206702,279848,248645,180426,157286,14167252,4843,47336,50741
6417_3_{X-18},2412645,210511,554123,117406,121371,266840,7378,4211,10970,331147,159712,283479,55950,125572,4201357,1859,320,82461,254918,228654,247287,57045,4293,8175791,470,41,93
6836_2_{X-18},2586839,241357,711700,105893,128044,263063,6033,5416,9945,353033,196975,320912,57998,130511,3130975,2595,357,92216,228605,163201,261948,61154,6150,8850225,628,65,66
6420_1_{X-18},1603545,186255,441583,195893,191497,236251,9923,8219,9552,263814,52215,234451,67334,144046,4443833,4597,630,57368,255105,186713,198442,54282,2946,9040863,1065,87,25395
