Name;Predicted;Real
output0_0;11;14
output0_1;24;25
output0_2;9;10
output0_3;18;20
output0_4;19;21
output0_5;18;20
output0_6;20;14
output0_7;18;18
output0_8;16;23
output0_9;22;23
output0_10;21;22
output0_11;10;10
output0_12;17;17
output0_13;10;10
output0_14;18;20
output0_15;17;18
output1_0;12;12
output1_1;18;17
output1_2;23;23
output1_3;10;9
output1_4;18;18
output1_5;21;22
output1_6;13;12
output1_7;17;18
output1_8;17;18
output1_9;9;9
output1_10;16;16
output1_11;15;17
output1_12;10;9
output1_13;20;24
output1_14;19;18
output1_15;17;19
output2_0;10;10
output2_1;8;8
output2_2;22;21
output2_3;10;12
output2_4;10;10
output2_5;8;8
output2_6;17;9
output2_7;10;10
output2_8;18;18
output2_9;20;20
output2_10;10;10
output2_11;24;23
output2_12;21;22
output2_13;12;10
output2_14;9;10
output2_15;9;9
output3_0;12;13
output3_1;11;10
output3_2;8;9
output3_3;24;24
output3_4;12;13
output3_5;21;21
output3_6;12;12
output3_7;13;11
output3_8;9;10
output3_9;10;14
output3_10;23;24
output3_11;10;10
output3_12;11;11
output3_13;17;18
output3_14;10;10
output3_15;10;10
output4_0;17;20
output4_1;22;23
output4_2;10;11
output4_3;21;21
output4_4;6;6
output4_5;24;23
output4_6;17;18
output4_7;18;19
output4_8;18;20
output4_9;18;20
output4_10;23;23
output4_11;21;20
output4_12;18;18
output4_13;15;14
output4_14;16;17
output4_15;11;13
output5_0;11;11
output5_1;19;19
output5_2;20;21
output5_3;21;23
output5_4;19;19
output5_5;10;10
output5_6;20;19
output5_7;14;16
output5_8;19;20
output5_9;18;18
output5_10;11;11
output5_11;10;9
output5_12;12;11
output5_13;11;16
output5_14;21;21
output5_15;9;9
output6_0;17;16
output6_1;8;9
output6_2;26;26
output6_3;19;21
output6_4;21;21
output6_5;11;11
output6_6;17;17
output6_7;11;11
output6_8;12;10
output6_9;18;19
output6_10;25;26
output6_11;12;12
output6_12;10;11
output6_13;17;18
output6_14;12;12
output6_15;23;24
output7_0;18;14
output7_1;11;11
output7_2;26;29
output7_3;12;12
output7_4;18;19
output7_5;9;11
output7_6;19;21
output7_7;28;30
output7_8;12;12
output7_9;18;19
output7_10;11;13
output7_11;22;22
output7_12;15;10
output7_13;9;9
output7_14;12;11
output7_15;22;22
output8_0;8;8
output8_1;10;10
output8_2;23;24
output8_3;8;8
output8_4;12;12
output8_5;18;19
output8_6;8;8
output8_7;10;11
output8_8;13;9
output8_9;18;20
output8_10;17;17
output8_11;21;21
output8_12;17;19
output8_13;21;21
output8_14;23;24
output8_15;21;22
output9_0;9;10
output9_1;12;12
output9_2;10;9
output9_3;20;20
output9_4;10;11
output9_5;10;10
output9_6;21;23
output9_7;13;10
output9_8;12;10
output9_9;19;21
output9_10;17;19
output9_11;25;26
output9_12;20;21
output9_13;17;17
output9_14;15;10
output9_15;18;18
output10_0;9;9
output10_1;9;9
output10_2;15;18
output10_3;10;12
output10_4;20;21
output10_5;19;18
output10_6;18;18
output10_7;22;22
output10_8;10;10
output10_9;19;20
output10_10;16;17
output10_11;16;17
output10_12;17;18
output10_13;20;21
output10_14;9;10
output10_15;10;11
output11_0;20;20
output11_1;19;20
output11_2;19;20
output11_3;26;26
output11_4;17;18
output11_5;17;19
output11_6;11;11
output11_7;8;10
output11_8;11;10
output11_9;22;22
output11_10;12;12
output11_11;10;9
output11_12;8;8
output11_13;9;9
output11_14;19;19
output11_15;19;19
output12_0;17;18
output12_1;16;9
output12_2;10;10
