Name;Predicted;Real
output0_0;12;14
output0_1;24;25
output0_2;11;10
output0_3;18;20
output0_4;20;21
output0_5;17;20
output0_6;19;14
output0_7;18;18
output0_8;18;23
output0_9;22;23
output0_10;21;22
output0_11;10;10
output0_12;17;17
output0_13;11;10
output0_14;17;20
output0_15;17;18
output1_0;12;12
output1_1;18;17
output1_2;23;23
output1_3;10;9
output1_4;18;18
output1_5;21;22
output1_6;12;12
output1_7;17;18
output1_8;17;18
output1_9;10;9
output1_10;16;16
output1_11;17;17
output1_12;10;9
output1_13;22;24
output1_14;20;18
output1_15;18;19
output2_0;10;10
output2_1;8;8
output2_2;21;21
output2_3;11;12
output2_4;10;10
output2_5;8;8
output2_6;22;9
output2_7;11;10
output2_8;17;18
output2_9;20;20
output2_10;10;10
output2_11;21;23
output2_12;21;22
output2_13;14;10
output2_14;9;10
output2_15;10;9
output3_0;13;13
output3_1;11;10
output3_2;9;9
output3_3;24;24
output3_4;12;13
output3_5;21;21
output3_6;14;12
output3_7;12;11
output3_8;9;10
output3_9;12;14
output3_10;23;24
output3_11;10;10
output3_12;10;11
output3_13;18;18
output3_14;10;10
output3_15;10;10
output4_0;19;20
output4_1;23;23
output4_2;10;11
output4_3;21;21
output4_4;6;6
output4_5;24;23
output4_6;15;18
output4_7;19;19
output4_8;19;20
output4_9;20;20
output4_10;23;23
output4_11;21;20
output4_12;18;18
output4_13;16;14
output4_14;17;17
output4_15;10;13
output5_0;11;11
output5_1;19;19
output5_2;21;21
output5_3;23;23
output5_4;19;19
output5_5;9;10
output5_6;19;19
output5_7;14;16
output5_8;19;20
output5_9;18;18
output5_10;11;11
output5_11;10;9
output5_12;13;11
output5_13;11;16
output5_14;21;21
output5_15;9;9
output6_0;16;16
output6_1;9;9
output6_2;27;26
output6_3;21;21
output6_4;22;21
output6_5;12;11
output6_6;17;17
output6_7;11;11
output6_8;10;10
output6_9;18;19
output6_10;26;26
output6_11;12;12
output6_12;11;11
output6_13;18;18
output6_14;13;12
output6_15;24;24
output7_0;17;14
output7_1;12;11
output7_2;27;29
output7_3;12;12
output7_4;14;19
output7_5;10;11
output7_6;20;21
output7_7;28;30
output7_8;11;12
output7_9;18;19
output7_10;12;13
output7_11;22;22
output7_12;12;10
output7_13;9;9
output7_14;12;11
output7_15;22;22
output8_0;8;8
output8_1;10;10
output8_2;23;24
output8_3;9;8
