Name;Predicted;Real
output0_0;19;23
output0_1;22;22
output0_2;9;9
output0_3;17;17
output0_4;17;17
output0_5;11;11
output0_6;23;23
output0_7;15;15
output0_8;9;8
output0_9;29;29
output0_10;28;27
output0_11;30;29
output0_12;18;18
output0_13;28;28
output0_14;19;19
output0_15;8;8
output1_0;10;11
output1_1;24;24
output1_2;11;9
output1_3;19;18
output1_4;31;33
output1_5;11;10
output1_6;12;13
output1_7;27;27
output1_8;19;19
output1_9;13;12
output1_10;27;27
output1_11;28;28
output1_12;18;19
output1_13;28;28
output1_14;23;24
output1_15;9;9
output2_0;12;12
output2_1;20;20
output2_2;27;27
output2_3;29;29
output2_4;22;23
output2_5;21;21
output2_6;18;18
output2_7;32;32
output2_8;8;8
output2_9;13;12
output2_10;8;6
output2_11;31;31
output2_12;26;26
output2_13;18;18
output2_14;21;21
output2_15;14;14
output3_0;8;7
output3_1;11;11
output3_2;9;9
output3_3;23;23
output3_4;27;27
output3_5;26;26
output3_6;29;27
output3_7;17;17
output3_8;13;11
output3_9;11;11
output3_10;24;24
output3_11;32;32
output3_12;11;11
output3_13;10;9
output3_14;19;20
output3_15;9;9
output4_0;10;10
output4_1;9;9
output4_2;20;19
output4_3;22;22
output4_4;11;12
output4_5;17;17
output4_6;19;19
output4_7;19;19
output4_8;10;10
output4_9;18;18
output4_10;29;28
output4_11;13;14
output4_12;19;19
output4_13;10;10
output4_14;25;25
output4_15;22;24
output5_0;23;22
output5_1;12;16
output5_2;18;18
output5_3;21;21
output5_4;29;29
output5_5;24;20
output5_6;11;12
output5_7;10;10
output5_8;10;10
output5_9;18;15
output5_10;24;24
output5_11;31;29
output5_12;16;16
output5_13;10;10
output5_14;19;19
output5_15;26;26
output6_0;21;21
output6_1;19;19
output6_2;16;16
output6_3;26;26
output6_4;17;20
output6_5;22;22
output6_6;31;30
output6_7;28;26
output6_8;14;14
output6_9;11;11
output6_10;23;24
output6_11;10;10
output6_12;22;21
output6_13;23;22
output6_14;16;17
output6_15;6;6
output7_0;11;10
output7_1;11;11
output7_2;11;10
output7_3;21;21
output7_4;31;29
output7_5;22;22
output7_6;20;19
output7_7;20;20
output7_8;21;21
output7_9;20;19
output7_10;22;22
output7_11;29;28
output7_12;30;30
output7_13;20;19
output7_14;17;16
output7_15;21;22
output8_0;22;21
output8_1;18;18
output8_2;14;14
output8_3;17;12
output8_4;11;11
output8_5;16;17
output8_6;25;24
output8_7;19;19
output8_8;9;8
output8_9;9;9
output8_10;10;10
output8_11;31;30
output8_12;17;17
output8_13;18;17
output8_14;27;27
output8_15;22;22
output9_0;22;23
output9_1;27;26
output9_2;10;10
output9_3;22;22
output9_4;12;12
output9_5;10;10
output9_6;27;26
output9_7;18;18
output9_8;16;15
output9_9;10;11
output9_10;17;16
output9_11;12;13
output9_12;27;28
output9_13;22;22
output9_14;28;29
output9_15;19;19
output10_0;27;28
output10_1;16;17
output10_2;10;11
output10_3;22;22
output10_4;20;20
output10_5;28;28
output10_6;20;20
output10_7;21;21
output10_8;29;27
output10_9;27;26
output10_10;20;20
output10_11;24;23
output10_12;24;21
output10_13;22;22
output10_14;27;27
output10_15;21;21
output11_0;23;23
output11_1;31;31
output11_2;24;24
output11_3;29;29
output11_4;30;29
output11_5;9;9
output11_6;30;30
output11_7;31;31
output11_8;29;30
output11_9;26;26
output11_10;10;10
output11_11;31;33
output11_12;18;18
output11_13;10;9
output11_14;26;25
output11_15;21;20
output12_0;26;27
output12_1;13;12
output12_2;15;15
output12_3;9;10
output12_4;20;19
output12_5;31;32
output12_6;18;18
output12_7;31;32
output12_8;17;17
output12_9;17;19
output12_10;20;20
output12_11;18;18
output12_12;11;11
output12_13;25;25
output12_14;10;10
output12_15;17;17
output13_0;20;20
output13_1;16;16
output13_2;18;18
output13_3;11;11
output13_4;32;33
output13_5;23;23
output13_6;27;26
output13_7;30;30
output13_8;21;20
output13_9;19;19
output13_10;21;21
output13_11;29;30
output13_12;25;25
output13_13;30;29
output13_14;21;21
output13_15;17;17
output14_0;18;18
output14_1;26;27
output14_2;20;20
output14_3;20;18
output14_4;28;29
output14_5;10;9
output14_6;21;21
output14_7;21;21
output14_8;29;30
output14_9;10;10
output14_10;19;19
output14_11;18;18
output14_12;12;12
output14_13;19;18
output14_14;18;17
output14_15;19;18
output15_0;20;14
output15_1;10;10
output15_2;21;21
output15_3;33;32
output15_4;16;16
output15_5;20;20
output15_6;20;20
output15_7;11;12
output15_8;32;32
output15_9;9;17
output15_10;11;11
output15_11;17;17
output15_12;19;18
output15_13;13;14
output15_14;25;26
output15_15;26;26
output16_0;10;10
output16_1;29;29
output16_2;38;40
output16_3;19;19
output16_4;18;18
output16_5;19;19
output16_6;11;10
output16_7;19;19
output16_8;23;23
output16_9;12;11
output16_10;16;16
output16_11;23;23
output16_12;21;22
output16_13;18;18
output16_14;26;26
output16_15;21;21
output17_0;27;27
output17_1;32;32
output17_2;19;19
output17_3;17;17
output17_4;33;33
output17_5;19;20
output17_6;11;9
output17_7;23;22
output17_8;17;18
output17_9;29;29
output17_10;10;11
output17_11;22;22
output17_12;23;24
output17_13;17;19
output17_14;24;25
output17_15;11;11
output18_0;21;21
output18_1;10;8
output18_2;30;31
output18_3;14;14
output18_4;18;19
output18_5;28;26
output18_6;9;9
output18_7;11;11
output18_8;21;21
output18_9;21;21
output18_10;21;21
output18_11;23;22
output18_12;9;10
output18_13;12;13
output18_14;9;9
output18_15;11;11
output19_0;27;27
output19_1;17;17
output19_2;19;18
output19_3;10;10
output19_4;12;12
output19_5;10;10
output19_6;20;22
output19_7;29;29
output19_8;10;9
output19_9;9;9
output19_10;18;18
output19_11;11;11
output19_12;16;15
output19_13;14;14
output19_14;13;14
output19_15;19;18
output20_0;19;20
output20_1;19;19
output20_2;9;9
output20_3;22;22
output20_4;24;24
output20_5;20;20
output20_6;12;13
output20_7;31;30
output20_8;20;20
output20_9;23;23
output20_10;21;22
output20_11;19;17
