Name;Predicted;Real
output0_0;28;28
output0_1;19;19
output0_2;12;12
output0_3;9;9
output0_4;20;20
output0_5;22;22
output0_6;26;26
output0_7;19;17
output0_8;17;17
output0_9;28;30
output0_10;21;21
output0_11;18;18
output0_12;16;9
output0_13;13;12
output0_14;8;9
output0_15;20;20
output1_0;26;27
output1_1;19;19
output1_2;9;9
output1_3;20;24
output1_4;27;29
output1_5;10;10
output1_6;20;24
output1_7;20;20
output1_8;16;16
output1_9;19;19
output1_10;8;8
output1_11;11;10
output1_12;13;13
output1_13;19;19
output1_14;11;9
output1_15;20;21
output2_0;25;25
output2_1;12;9
output2_2;10;10
output2_3;26;25
output2_4;29;29
output2_5;17;17
output2_6;11;10
output2_7;16;17
output2_8;12;12
output2_9;24;24
output2_10;13;12
output2_11;9;9
output2_12;26;26
output2_13;19;19
output2_14;23;25
output2_15;9;9
output3_0;9;9
output3_1;23;23
output3_2;14;15
output3_3;26;26
output3_4;26;26
output3_5;20;20
output3_6;26;26
output3_7;21;21
output3_8;16;15
output3_9;17;17
output3_10;10;10
output3_11;20;20
output3_12;16;17
output3_13;9;9
output3_14;19;19
output3_15;28;28
output4_0;20;21
output4_1;10;10
output4_2;25;26
output4_3;19;19
output4_4;22;22
output4_5;8;7
output4_6;9;9
output4_7;28;27
output4_8;19;18
output4_9;27;26
output4_10;10;9
output4_11;24;24
output4_12;27;27
output4_13;10;10
output4_14;19;19
output4_15;19;18
output5_0;22;22
output5_1;20;20
output5_2;15;16
output5_3;21;21
output5_4;17;19
output5_5;18;18
output5_6;10;11
output5_7;18;18
output5_8;18;23
output5_9;20;20
output5_10;20;20
output5_11;17;17
output5_12;21;22
output5_13;19;19
output5_14;29;29
output5_15;13;11
output6_0;24;24
output6_1;13;16
output6_2;9;9
output6_3;23;23
output6_4;8;6
output6_5;11;11
output6_6;23;23
output6_7;9;9
output6_8;15;12
output6_9;20;19
output6_10;22;22
output6_11;33;33
output6_12;15;14
output6_13;24;25
output6_14;21;20
output6_15;17;18
output7_0;21;20
output7_1;30;32
output7_2;31;30
output7_3;35;40
output7_4;9;9
output7_5;20;21
output7_6;19;19
output7_7;9;10
output7_8;30;30
output7_9;26;26
output7_10;27;27
output7_11;10;10
output7_12;23;23
output7_13;18;18
output7_14;19;24
output7_15;19;20
output8_0;18;18
output8_1;20;20
output8_2;20;21
output8_3;18;16
output8_4;18;23
output8_5;17;19
output8_6;26;27
output8_7;19;19
output8_8;21;22
output8_9;25;25
output8_10;19;22
output8_11;10;10
output8_12;9;9
output8_13;23;23
output8_14;14;14
output8_15;20;20
output9_0;23;24
output9_1;11;10
output9_2;27;26
output9_3;22;21
output9_4;27;27
output9_5;20;21
output9_6;12;12
output9_7;21;22
output9_8;15;15
output9_9;9;10
output9_10;20;21
output9_11;29;30
output9_12;20;20
output9_13;10;9
output9_14;11;13
output9_15;9;9
output10_0;28;29
output10_1;19;20
output10_2;18;19
output10_3;9;9
output10_4;31;32
output10_5;9;10
output10_6;20;22
output10_7;19;23
output10_8;18;18
output10_9;16;16
output10_10;13;13
output10_11;21;21
output10_12;12;12
output10_13;11;11
output10_14;17;17
output10_15;10;11
output11_0;30;30
output11_1;31;31
output11_2;16;15
output11_3;11;11
output11_4;13;11
output11_5;9;10
output11_6;9;9
output11_7;29;29
output11_8;21;21
output11_9;12;12
output11_10;10;10
output11_11;9;9
output11_12;22;22
output11_13;12;12
output11_14;10;10
output11_15;28;28
output12_0;21;23
output12_1;27;27
output12_2;22;22
output12_3;19;20
output12_4;10;11
output12_5;28;28
output12_6;25;24
output12_7;17;18
output12_8;19;19
output12_9;33;33
output12_10;29;29
output12_11;11;11
output12_12;16;16
output12_13;31;31
output12_14;24;24
output12_15;11;11
output13_0;21;21
output13_1;10;9
output13_2;29;30
output13_3;9;9
output13_4;10;11
output13_5;9;9
output13_6;26;26
output13_7;21;21
output13_8;28;26
output13_9;19;19
output13_10;9;9
output13_11;11;11
output13_12;9;9
output13_13;22;22
output13_14;26;27
output13_15;22;23
output14_0;26;26
output14_1;20;21
output14_2;15;15
output14_3;19;19
output14_4;29;29
output14_5;26;27
output14_6;28;28
output14_7;10;13
output14_8;26;26
output14_9;27;27
output14_10;22;22
output14_11;21;22
output14_12;19;19
output14_13;22;26
output14_14;11;11
output14_15;20;21
output15_0;26;26
output15_1;26;28
output15_2;10;11
output15_3;20;20
output15_4;16;18
output15_5;20;20
output15_6;32;32
output15_7;22;22
output15_8;10;10
output15_9;26;29
output15_10;20;20
output15_11;26;26
output15_12;29;30
output15_13;27;29
output15_14;19;19
output15_15;32;30
output16_0;24;25
output16_1;29;29
output16_2;30;30
output16_3;19;19
output16_4;16;17
output16_5;17;17
output16_6;26;26
output16_7;12;13
output16_8;25;26
output16_9;26;27
output16_10;13;11
output16_11;12;12
output16_12;9;8
output16_13;18;18
output16_14;25;25
output16_15;21;22
output17_0;25;26
