H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,name
2077123,235749,423747,104729,46626,101544,76297,86952,181999,213056,83696,256877,72430,108720,5182122,26419,77034,156775,243222,153305,219429,57010,1912,7717910,10958,119,144,6417_2_{X-18}
2345592,203131,542589,53209,35226,87185,122196,119828,226937,256892,97695,318099,37946,130019,5024439,43652,94874,182358,336994,329764,262281,68898,6302,6973405,15244,190,959,6416_3_{X-18}
2272124,256160,457648,112343,48574,84623,74248,93899,193734,202320,84513,299483,100619,123262,3372330,31820,86319,176066,253012,155694,236734,62764,5520,9121471,10484,109,31,6418_2_{X-18}
195826,255453,922768,3938,6904,28999,101753,563455,443077,191905,26657,269274,17705,89156,11813150,6993,7681,93829,282633,476139,495332,39196,118095,185915,7475,88790,182148,1988
1230642,454442,108281,191233,72976,14723,565704,135810,24048,124662,221276,153215,24989,19280,142996,10989,113290,10946,392360,223636,437490,215297,250751,12400816,60216,209360,106476,6418_{X-18}
1785631,152616,472144,86399,40786,93092,65901,49982,147442,227095,143006,246185,46951,87756,7921666,29946,56432,128715,204061,173921,153736,49063,1951,5538286,13068,68,5,6416_1_{X-18}
2238300,218752,530896,135992,48872,95108,89046,130175,211411,191345,81178,287972,116537,130362,4441123,27849,81375,175832,245900,173138,254069,87865,3259,7904854,12735,238,1721,6418_1_{X-18}
2392039,318881,484166,114710,46824,101786,113955,135653,225687,258598,115319,316482,102052,137813,2729934,44456,96071,186629,288328,176317,263556,78696,8595,9164794,13749,312,502,6419_2_{X-18}
2422370,221955,508995,89973,44364,122592,105296,73341,197224,311981,150470,320181,49545,115700,7304301,38335,80338,210690,234254,95114,149420,52968,3016,5000593,12762,109,17,6419_4_{X-18}
953314,426785,121387,68077,21166,10754,680268,250832,41452,117145,208074,137147,19061,15252,161640,9428,101724,10801,515812,410540,407175,111401,369003,12357647,99856,191327,98836,6416_{X-18}
1183286,481783,135955,89850,31341,13054,578109,222052,37617,128693,218578,147081,23418,19171,163805,11048,110880,11930,543721,228762,431260,136662,272091,12276155,106778,206885,105939,6419_{X-18}
1019272,449146,132458,65199,19952,11293,391527,189637,35708,103939,175838,122852,19480,16097,425708,8650,91132,10201,416981,289209,362260,102165,298081,12813826,85387,171515,88391,6417_{X-18}
2342001,146320,451759,69343,35400,98382,131820,68531,196208,222517,147897,305208,74459,110795,7931466,44736,80372,204956,191912,91053,163781,54948,1261,4740324,10295,141,19,6419_1_{X-18}
2597428,228651,507913,80160,41523,98615,123945,112966,233091,272009,81348,323251,62425,134153,4320532,43932,102023,196256,255426,184261,267970,65229,5730,7565902,10867,180,118,6418_4_{X-18}
2240124,174522,490828,66827,38904,97086,77713,89726,198712,303333,70677,298061,38993,91037,4911691,27276,81786,136275,251111,187595,234543,60976,40009,7669636,11701,279,26483,6416_2_{X-18}
2375954,201992,541574,103302,40820,102419,81538,104324,206895,216340,100770,314824,90984,120259,3779318,34223,91823,172098,314526,227109,263496,79659,13591,8319557,12418,335,5756,6416_4_{X-18}
2328999,193242,516553,131028,55013,116096,77402,87838,199284,266952,81141,278546,94515,127695,4116237,27489,76768,172514,237678,228566,247284,64604,4208,8175612,10151,214,275,6417_3_{X-18}
2459209,201795,535336,113985,49199,108928,81800,107599,221564,231253,81094,307567,81657,132953,4230330,29356,93105,183598,291326,200338,262187,69166,4476,7826693,10650,198,542,6417_4_{X-18}
1712180,178249,436943,141413,49005,83783,105423,127302,175705,197837,48724,248776,107419,92292,4579944,25105,60561,124481,238695,214017,211235,93745,48510,8581470,10778,369,21943,6417_1_{X-18}
2372520,233808,560848,94594,46529,105169,78140,93470,199050,266039,116459,295525,71361,123815,5256977,35664,89630,179891,267478,143600,241123,64177,6153,6963766,9980,127,11,6419_3_{X-18}
2828991,202433,549769,66968,40557,105235,103353,91070,245679,293337,128946,336257,78102,136765,6198852,36493,106686,211099,219775,131265,272646,63704,1049,5455328,11250,221,74,6418_3_{X-18}
